Len	LD
5369	1.0
5295	0.4444
5285	1.0
5164	1.0
5163	1.0
5143	1.0
4996	1.0
4973	1.0
4963	1.0
4962	1.0
4961	1.0
4952	0.1667
4941	1.0
4940	1.0
4863	1.0
4849	1.0
4806	1.0
4804	1.0
4781	1.0
4737	1.0
4736	1.0
4703	1.0
4685	1.0
4683	1.0
4609	0.0476
4599	1.0
4477	1.0
4472	1.0
4339	1.0
4285	1.0
4276	1.0
4272	1.0
4202	1.0
4007	1.0
3978	1.0
3977	1.0
3913	1.0
3846	1.0
3721	1.0
3713	1.0
3712	1.0
3703	0.1667
3697	0.0476
3379	1.0
3252	1.0
3244	1.0
3237	1.0
3210	1.0
2913	1.0
2788	1.0
2786	1.0
2771	1.0
2766	0.3333
2448	1.0
2323	1.0
2306	1.0
2287	1.0
2278	0.1667
2093	1.0
1994	1.0
1983	1.0
1258	1.0
1219	1.0
1194	1.0
1138	1.0
861	1.0
775	1.0
255	1.0
150	1.0
93	1.0
68	1.0
231	1.0
258	1.0
1035	1.0
1588	1.0
1756	1.0
2670	1.0
2687	1.0
2691	1.0
2833	1.0
3283	1.0
3418	1.0
3490	1.0
3715	1.0
4370	1.0
4688	1.0
5243	1.0
5951	1.0
6938	1.0
7068	1.0
7107	1.0
7250	1.0
8053	1.0
8452	1.0
9328	1.0
9623	1.0
9378	1.0
9338	0.1667
9125	1.0
8665	1.0
6553	1.0
6504	1.0
6348	1.0
6320	1.0
6319	1.0
6318	1.0
6308	1.0
6300	1.0
6299	1.0
6282	1.0
6224	1.0
6215	1.0
6214	1.0
6207	1.0
6206	1.0
6197	1.0
6189	1.0
6144	1.0
6143	1.0
6101	1.0
6071	1.0
6070	1.0
6059	0.5238
5971	1.0
5854	1.0
5788	1.0
5787	1.0
5786	1.0
5783	1.0
5726	1.0
5616	1.0
5602	1.0
5559	1.0
5491	1.0
5490	1.0
5457	1.0
5439	1.0
5437	1.0
5363	0.4444
5353	1.0
5232	1.0
5231	1.0
5211	1.0
5064	1.0
5041	1.0
5031	1.0
5030	1.0
5029	1.0
5020	0.1667
5009	1.0
5008	1.0
4931	1.0
4917	1.0
4874	1.0
4872	1.0
4849	1.0
4805	1.0
4804	1.0
4771	1.0
4753	1.0
4751	1.0
4677	0.0476
4667	1.0
4545	1.0
4540	1.0
4407	1.0
4353	1.0
4344	1.0
4340	1.0
4270	1.0
4075	1.0
4046	1.0
4045	1.0
3981	1.0
3914	1.0
3789	1.0
3781	1.0
3780	1.0
3771	0.1667
3765	0.0476
3447	1.0
3320	1.0
3312	1.0
3305	1.0
3278	1.0
2981	1.0
2856	1.0
2854	1.0
2839	1.0
2834	0.3333
2516	1.0
2391	1.0
2374	1.0
2355	1.0
2346	0.1667
2161	1.0
2062	1.0
2051	1.0
1489	1.0
1450	1.0
1425	1.0
1369	1.0
1092	1.0
1006	1.0
486	1.0
381	1.0
324	1.0
